id,review_body
0,Jolie mais est arrivée avec une porte un peu pliée qui ce ferme mal et le carton dans un état catastrophique une honte le carton
1,"Je dois mal m'y prendre car quand je positionne les tuteurs sur mes ongles, la partie centrale est trop étroite ce qui fait que seule la partie centrale de l'ongle a du vernis."
2,"la coque ne se referme pas complètement sur le telephone , avec le temps peut-être ? attention au traces de doigts on ne voit que ça. produit bien fini , livraison dans les délais."
3,Je suis très satisfaite de ce produit Rapport qualité prix imbattable Du plus belle effet dans mon salon il fait moderne et qualitatif Je recommande
4,Vitre très fragile c'est brisé pendant la pose.
5,Produit commandé à 5 reprises pour des volets roulants Somfy! vous pouvez acheter les yeux fermés
6,Poches trop petites pour mettre toutes les monnaies en notre possession. Déception
7,Le produit c est dessoudé de suite.
8,"Produit conforme bien emballé rien à dire par contre livraison annonce ""colis déposé dans boîte aux lettres"" en fait balancé dans le terrain par dessus le mur, retrouvé au milieu du terrain' du coup pas très pro"
9,"Super achat, magnifique couleurs."
10,"Pas chère mais j'ai chez moi des poissons d'argent et la terre ne leur a rien fait, ils sont toujours là. J'en avais mis le long de toutes les plinthes ainsi que le long du lit et de la porte. Plus alarmant, j'ai attrapé une punaise de lit vivante que j'ai laissé avec le produit dans un petit bol pendant une nuit et une journée entière pour voir l'effet du produit... Et bien au bout elle est toujours vivante! Pire, elle se roule dedans, la punaise est toute blanche mais marche encore dans tous les sens. A croire que ça lui fait du bien!! Elle a du prendre ça pour une piscine à boules! Si les punaises y résistent alors qu'on les force dedans, autant dire qu'en milieu ouvert, là ou elles peuvent le contourner facilement, c'est une vraie promenade de santé pour elles...."
11,produits fragile dans métal dur a utilisé avec délicatesse.mais produits efficace dans métal doux. très pratique à l'utilisation perçage et taraudage en un seul mouvement
12,assez bien mais pas assez de video
13,Cet objet est un leurre !! Il ne met absolument rien en évidence ! (en l’occurrence la présence d'urine sur les mobiliers !!) A déconseiller !!!
14,Cette protection ne recouvre absolument pas la taille de l'écran du Galaxy A5 (il manque 2 mm de part et d'autre en largeur) et cela se voit !
15,toujours aussi formidable cet article ....j en ai un autre qui a bien 20 ans et qui est toujours au top
16,"Marche très bien, mais attention au bouchon qui s’ouvre très facilement, il s’est ouvert dans mon coffre et j’ai tout perdu !"
17,Très mauvais produit je ne le recommande pas
18,reglette qui eclaire tres bien - livraison rapide
19,Une ampoule sur 2 fonctionne coment trouver une solution pour etre rembourser ou autre car cela et domage merci d'avance
20,"Des interférences / parasites bien présents malgré de nombreux essais et tests, avec différents appareils d'enregistrement (smartphone, tablette, dictaphone) avec les batteries de l'émetteur et du récepteur bien chargées. Testé à différents endroits également afin d'être certain que ce bruit de fond n'était pas dû à un appareil à proximité, rien à faire. A part si vous aimez passer des heures à nettoyer le son en post prod, passez-votre chemin.."
21,"Il gère 4 caméras POE (12 V chacun). Tourne 24 sur 24 depuis plus d'1 mois. Pas de surchauffe. Pour le prix, très bon produit."
22,Délais de livraison non respectés. Toujours pas reçu.
23,Parfaite pour ma 125. La matière est un peu fine mais avec un prix aussi bas ce n'est pas étonnant et cela fait tout de même l'affaire !
24,"très très fragile, il s'est cassé dés le 1er jour, du coup j'en ai racheté un autre ... et pareil made in china ! de la m.................."
25,Après une dizaine d’utilisations uniquement pour charger mon iPhone lors de déplacement prolongé ..ben la batterie clignote bleu sans arrêt .. résultat durée de vie de la batterie externe 10 charges
26,"Je suis ravie de ma commande, la ceinture est arrivée en 1 jour ouvré. Très bonne qualité, la ceinture s’adapte très bien aux différentes corpulences (nous l’avons acheté pour mon conjoint et moi et elle nous va à tous les deux bien que je suis beaucoup plus menue!). Effet immédiat, la ceinture nous fait transpirer sans pour autant faire grand chose. Hâte de vous le résultat sur la durée !"
27,"Parfait, tout y est et fonctionne de façon satisfaisante pour un prix modique. Répond parfaitement à mes besoins occasionnels. La qualité est tout à fait correcte pour le prix"
28,"Mon fils a reçu sa BD il était très content par contre moi un peu moins à cause de deux feuille un peu chiffonnée de la BD , bon vu le prix je ne suis quand même pas complètement mécontent c'est pour ça que j'ai mis quand même 3 étoiles ."
29,"Pour moi pas le meilleur de Musso, je n’ai pas vraiment été happée par cette histoire,ni par les personnages secondaires. Déçue !"
30,Moins d’espace qu’annoncé
31,mauvaise qualité n accepte pas plus de 2 billes dans le chargeur sinon disfonctionnement apres 500 billes maximum l embout du canon s est cassé donc moins de précision et pistolet inutilisable a ne pas acheter
32,On m'a vendu une bâche épaisse et robuste et je n'ai eu qu'une bâche fine mais robuste...
33,Un peu déçu de la taille
34,"Ce produit es conforme à la description mais en magasin il coute moin cher donc pas interressant , à vous de voir"
35,"Pour la chambre d amis. Très joli chevet,. montage rapide. Je le conseille. Bonne qualité prix"
36,Ce visiophone est tout simplement super. La qualité d’image est très bonne et le son également. Le seul petit bémol que je noterai serai le fait que la caméra doive être branchée en permanence au secteur quand on l’utilise. Je l’ai acheté en le sachant donc je ne regrette pas mais peut être un point à revoir pour le fabriquant.
37,Super produit correspond à la description protège très bien l'avant et le derrière du téléphone en un seul clic grâce au système d'aimant.La coque recouvre tout le téléphone pas besoin d'acheter une vitre de protection.
38,Très mauvaise qualité ne tiens pas plus d'un mois
39,Le Colis bien arrivé dans les délais annoncés mais l' emballage de la cartouche d'encre est à moitié écrasé !
40,Super pour une Rééducation.
41,bon produit a un prix intéressant je recommande ce produit livraison rapide et soignée beaucoup plus chère en magasin parfait
42,Impeccable pour modèles réduits
43,Excellent et superbe protège super bien
44,La boite a dent est une peu Longue a recevoir mais est un très joli produit ca vaud le coup d attendre
45,"Bonjour, manque la pièce numéro 12 dans le colis : qu’elle est la démarche à faire pour la récupérer ?"
46,Envoie rapide. Moule un peu petit
47,"Tout ça ressemble plus à une intro qu'à un récit complet. Pas de gros rebondissements, assez plat. Ça passe le temps."
48,Effet miroir !!!!! Conforme à l'ancien en noir acheté en magasin!!!! Juste le prix change.... C'es vraiment Parfait Ne pas hésiter
49,Fonctionne très bien.
50,Très déçu. J'ai acheté ce produit car il yavait un sac de rangement sur la photo. Mensonge. Déçu d'avoir reçu les balles dans un filet.
51,"Cette crème atténue vraiment mes boutons d’acné, cela fait plus d’une semaine que je l’utilise et ma peau est plus nette et lisse. La texture est fondante et pénètre bien dans ma peau. Aucune sensation de gras. Le parfum est assez fort et frais mais s’estompe après quelques minutes. Je vais en acheter pour ma fille qui commence à avoir de l’acné."
52,"A mon grand étonnement, cette antenne fonctionne parfaitement sans aucun parasite. Antenne posée dans les rampants a l'étage au niveau du plancher béton. Signal provenant de 39 km et réception parfaite. Les voisins ayant un râteau extérieur captent moins bien.J'en ai installé deux à l'étage de ma maison."
53,Ne fonctionne pas... toujours de la buée dans la voiture ?!!!
54,"Vu la qualité prix , je le trouve très élégant , il m'as déjà glissé des mains et tombé sur le carrelage sans aucun problème ."
55,Parfait ...ces cartouches fonctionnent très bien sur mon imprimante EPSON SX215 ... Le rapport qualité prix est imbattable. A acheter sans problème ...
56,Utiliser pour garder les chiens attachés en voiture nous nous étions rassuré nos chiens eux moins content car malgré un léger élastique cela les a bridés quand même
57,Trop petit pour les affaires scolaires de CM2 Alors au collège?
58,Parfaite tient parfaitement au téléphone
59,Emballage trop fin ou alors mal traité. La boîte du produit était écrasé. Je passerais par un concurrent qui livre plus proprement.
60,"il est solide facile à couper mais se décolle facilement se méfier donc en mettre plusieurs fois , du coup un seul rouleau peut ne pas suffire évaluez bien vos besoins avant commande"
61,pour une utilisation appropriée
62,Il est parfait et très joli. Il prend peu de place
63,"nettoyage des sols de mon pavillon, appareil qui manque de puissance d'aspiration, insuffisante pour certaines poussières, accessoires qui semblent fragiles, je suis déçu de cet achat"
64,"J'ai pris cette trousse kit de dissection pour ma fille qui est en fac de Biologie et elle en est tout à fait satisfaite, de plus la trousse est très pratique pour le rangement ."
65,"Très decu : ultra résistant ??Fake au bout de 2minutes un fissure est apparu sur la protection tout au long de l écran Je suis très déçu anarque j attend un remboursement rapide ,"
66,"La description n'était pas claire car en aucun cas j'ai pu lire que le jeu était vendu sans la boîte et en plus à ce prix-là, j'aurais pu trouver moins cher sur un site d'occasion (qui vend pour certains avec la boîte du jeu) très déçu mais heureusement que le jeu est en français."
67,Un des vernis c’était renversé dans la boîte. J’ai donc du les renvoyer.
68,"Super content du produit. Patience pour enfiler le truc dans les oeillet de la chaussures, mais c'est tip top !"
69,"j'ai acheté ces housses pour mettre à l'abris une trentaine de chaises. Les coutures lâches immédiatement surtout ne pas trop tirer dessus. En plus elles sont trop petites pour y placer 6 chaises. Personnellement je n'ai pu en mettre que 4 par housses, et mes chaises de jardin sont petites.... Je déconseille cet achat !!!"
70,Je suis mécontent produit de qualité d'un jouet c'est à dire de très bat de gamme en une semaine défaillance mis à la poubelle
71,3 eme fois que je commande cet article et les 3 fois arrivé défectueux avec des pièces manquantes... Je souhaiterai fortement que le vendeur me contact !!
72,Super satisfaite de ces lumières que j'utilise pour mon miroir à maquillage. Intensité et surtout couleurs réglable grâce à deux télécommandes. Parfait
73,"Recu apres 2 mois . La palette est comme dans les description mais quelque fard ne fonctionne pas , vous avez beau passer le doigts dessus aucune pigmentation ne sort , pour le prix il ne faut pas s’attendre a quelque choses d’extraordinaire non plus"
74,"Bonne housse mais pourrait protégé mieux notamment sur les côté .. Je l'ai acheté il y a 1 an et elle n'a pas bougé, quand même de bonne qualité malgré le manque de rembourrage sur les côtés."
75,Honteux!!!! N'achetez pas déballé neuf... Gonflé 1 fois percé en plusieurs endroits... Inadmissible ! NE MÉRITE MM PAS L ÉTOILE OBLIGATOIRE !
76,"J'ai renvoyé la carte mère le 8 février en utilisant la boite du colis original, l'étiquette standard de retour proposée par Amazon, directement au comptoir du bureau de poste avec récépissé...le 21 février alors que trois personnes du SAV, à qui j'ai transmis le récépissé de renvoi, m'avaient confirmé qu'Amazon avait reçu le colis que le statut allait être mis à jour mais entre-temps j'ai reçu des emails automatiques indiquant que rien n'avait été reçu en retour et que ma carte allait être débitée... Je voulais gagner 10€ sur cette carte mère, je me fait un sang d'encre en me disant que je suis parti pour en perdre 100, sans parler du temps passé à essayer de résoudre le problème et les tracas qui en découlent, l'esprit tranquille n'est pas un article que l'on peut brader...Si la présente situation évolue positivement je mettrai à jour mon évaluation."
77,"Appareil parfait. Le judas est très simple à installer. Une fois mis en place, il suffit d'appuyer sur le bouton pour voir le palier même si il n'y a pas de lumière. Je recommande ce produit."
78,"Reçu avec une grosse ligne noire de pixels morts. Vu le prix il ne fallait pas s'attendre à des miracles mais bon, ça pourrait au moins être vérifié avant emballage."
79,"Pour le moment tout va bien, conforme au descriptif.Pour la partie étanchéité à voire dans le temps..."
80,Je n ai pas reçu mon produit merci de me tenir informé Bien cordialement
81,"Génial pour mesurer la quantité de ppm! Rapide, simple d'utilisation et livré avec pile, je recommande."
82,Quantité reçu 8kg et non 10kg comme indiqué. C'est purement et simplement du vol...
